"ID","Weightvar","age","state","region","income","ethnicity","education","party","candidate","headline_id","recall","headline_value","headline_status","fact_check_link","recall_fake_headline"
"1141122260",0.708267147544739,31,"New York","Northeast","$50,000 to $74,999","White","Some college, no degree","Democrat","Hillary Clinton","A","unsure","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1146768496",0.585416826972958,31,"New Jersey","Northeast","$35,000 to $49,999","White","Ph.D.","Democrat","Hillary Clinton","A","yes","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1143062614",1.27397936196328,34,"New York","Northeast","$75,000 to $99,999","White","Graduate or professional degree","Republican","Donald Trump","A","yes","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1147306114",0.600294675625689,43,"Georgia","South","$50,000 to $74,999","Other race","Bachelor's degree","Republican","Donald Trump","A","unsure","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1141404252",0.762636662671286,59,"North Carolina","South","$35,000 to $49,999","White","Associate's degree","Republican","Donald Trump","A","yes","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1101430897",1.05509120209333,47,"California","West","$75,000 to $99,999","White","Bachelor's degree","Republican",NA,"A","no","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439718751",0.811150692238137,73,"Minnesota","Midwest","$35,000 to $49,999","White","Some college, no degree","Republican","Donald Trump","A","no","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1073826524",0.782696236992401,55,"Wisconsin","Midwest","$25,000 to $34,999","White","Some college, no degree","Independent","Donald Trump","A","no","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1108113847",1.49881011443804,32,"Indiana","Midwest","$75,000 to $99,999","White","Ph.D.","Democrat","Hillary Clinton","A","no","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439719117",0.587763244582133,21,"New York","Northeast","$25,000 to $34,999","White","Ph.D.","Democrat","Hillary Clinton","A","yes","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"C1439719034",0.90345227051585,75,"Ohio","Midwest","Less than $25,000","White","Some college, no degree","Independent",NA,"A","no","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1091238228",0.640962672048247,38,"California","West","$35,000 to $49,999","Other race","Associate's degree","Other",NA,"A","unsure","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1141086809",1.50740953760354,20,"Ohio","Midwest","Less than $25,000","Other race","Some college, no degree","Independent",NA,"A","no","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1007259824",0.849417785205719,67,"Georgia","South","Less than $25,000","White","Associate's degree","Independent","Gary Johnson","A","no","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
