"ID","Weightvar","age","state","region","income","ethnicity","education","party","candidate","headline_id","accuracy","headline_value","headline_status","fact_check_link","guessed_correctly"
"1146768496",0.585416826972958,31,"New Jersey","Northeast","$35,000 to $49,999","White","Ph.D.","Democrat","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1143062614",1.27397936196328,34,"New York","Northeast","$75,000 to $99,999","White","Graduate or professional degree","Republican","Donald Trump","A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1141404252",0.762636662671286,59,"North Carolina","South","$35,000 to $49,999","White","Associate's degree","Republican","Donald Trump","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"C1439719117",0.587763244582133,21,"New York","Northeast","$25,000 to $34,999","White","Ph.D.","Democrat","Hillary Clinton","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1144417686",0.59302385498398,36,"New York","Northeast","$35,000 to $49,999","White","Graduate or professional degree","Democrat",NA,"A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439720458",0.830006637822764,58,"Oregon","West","Less than $25,000","White","Ph.D.","Democrat","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"C1439720208",0.640962672048247,38,"Colorado","West","$35,000 to $49,999","White","Ph.D.","Independent","Hillary Clinton","A","not at all accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","yes"
"1146749068",0.719067396589376,61,"Oregon","West","$25,000 to $34,999","White","Associate's degree","Independent",NA,"A","somewhat accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"1144471428",0.856062529354088,33,"Florida","South","$35,000 to $49,999","White","Graduate or professional degree","Republican","Donald Trump","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
"C1439721752",0.650133856715106,30,"Texas","South","$25,000 to $34,999","White","Some college, no degree","Democrat","Jill Stein","A","very accurate","Pope Francis Shocks World Endorses Donald Trump for President Releases Statement","Fake","<a href=http://www.snopes.com/pope-francis-donald-trump-endorsement/>Snopes</a>","no"
